date,price
2018/6/28,8.6797
2018/6/27,8.6859
2018/6/26,8.7121
2018/6/25,8.6801
2018/6/22,8.6341
2018/6/21,8.6052
2018/6/20,8.5464
2018/6/19,8.547
2018/6/18,8.5372
2018/6/15,8.5606
2018/6/14,8.546
2018/6/13,8.5559
2018/6/12,8.5781
2018/6/11,8.5662
2018/6/8,8.5864
2018/6/7,8.5848
2018/6/6,8.5716
2018/6/5,8.5558
2018/6/4,8.5282
2018/6/1,8.571
2018/5/31,8.5186
2018/5/30,8.5272
2018/5/29,8.5074
2018/5/28,8.5164
2018/5/25,8.5071
2018/5/24,8.53
2018/5/23,8.5315
2018/5/22,8.5521
2018/5/21,8.566
2018/5/18,8.5985
2018/5/17,8.606
2018/5/16,8.5951
2018/5/15,8.6155
2018/5/14,8.6136
2018/5/11,8.5765
2018/5/10,8.5647
2018/5/9,8.6383
2018/5/8,8.6103
2018/5/7,8.637
2018/5/4,8.6
2018/5/3,8.6096
2018/5/2,8.6549
2018/5/1,8.6154
2018/4/30,8.714
2018/4/27,8.73
2018/4/26,8.8236
2018/4/25,8.8242
2018/4/24,8.8105
2018/4/23,8.8096
2018/4/20,8.8338
2018/4/19,8.9196
2018/4/18,8.9269
2018/4/17,8.9811
2018/4/16,8.9883
2018/4/13,8.9469
2018/4/12,8.9534
2018/4/11,8.9058
2018/4/10,8.8964
2018/4/9,8.9177
2018/4/6,8.8834
2018/4/5,8.8174
2018/4/4,8.8789
2018/4/3,8.8481
2018/4/2,8.8226
2018/3/30,8.817
2018/3/29,8.8255
2018/3/28,8.8845
2018/3/27,8.8922
2018/3/26,8.9338
2018/3/23,8.9388
2018/3/22,8.9211
2018/3/21,8.8986
2018/3/20,8.8786
2018/3/19,8.8891
2018/3/16,8.8081
2018/3/15,8.8359
2018/3/14,8.8051
2018/3/13,8.8362
2018/3/12,8.7939
2018/3/9,8.7891
2018/3/8,8.7898
2018/3/7,8.7742
2018/3/6,8.768
2018/3/5,8.7732
2018/3/2,8.7414
2018/3/1,8.729
2018/2/28,8.7318
2018/2/27,8.7828
2018/2/26,8.8094
2018/2/23,8.8671
2018/2/22,8.8534
2018/2/21,8.8574
2018/2/20,8.8711
2018/2/19,8.8669
2018/2/16,8.9083
2018/2/15,8.9204
2018/2/14,8.8204
2018/2/13,8.8112
2018/2/12,8.7367
2018/2/9,8.6943
2018/2/8,8.8885
2018/2/7,8.7264
2018/2/6,8.712
2018/2/5,8.8219
2018/2/2,8.9037
2018/2/1,8.9561
2018/1/31,8.9253
2018/1/30,8.9334
2018/1/29,8.9256
2018/1/26,8.9601
2018/1/25,9.0397
2018/1/24,9.0515
2018/1/23,8.9772
2018/1/22,8.9288
2018/1/19,8.8742
2018/1/18,8.9088
2018/1/17,8.8823
2018/1/16,8.8705
2018/1/15,8.8729
2018/1/12,8.8391
2018/1/11,8.7953
2018/1/10,8.8073
2018/1/9,8.8264
2018/1/8,8.8097
2018/1/5,8.8006
2018/1/4,8.8013
2018/1/3,8.7783
2018/1/2,8.7984
2018/1/1,8.7787
2017/12/29,8.7931
2017/12/28,8.7834
2017/12/27,8.7923
2017/12/26,8.7449
2017/12/25,8.7651
2017/12/22,8.7956
2017/12/21,8.7962
2017/12/20,8.8227
2017/12/19,8.8211
2017/12/18,8.8674
2017/12/15,8.8107
2017/12/14,8.8558
2017/12/13,8.8488
2017/12/12,8.8316
2017/12/11,8.8466
2017/12/8,8.8807
2017/12/7,8.8765
2017/12/6,8.8539
2017/12/5,8.8978
2017/12/4,8.9326
2017/12/1,8.9161
2017/11/30,8.9541
2017/11/29,8.8664
2017/11/28,8.7647
2017/11/27,8.8095
2017/11/24,8.8077
2017/11/23,8.7595
2017/11/22,8.7778
2017/11/21,8.785
2017/11/20,8.7874
2017/11/17,8.7447
2017/11/16,8.7456
2017/11/15,8.72
2017/11/14,8.7069
2017/11/13,8.7095
2017/11/10,8.7784
2017/11/9,8.704
2017/11/8,8.6775
2017/11/7,8.7077
2017/11/6,8.6923
2017/11/3,8.6804
2017/11/2,8.659
2017/11/1,8.7648
2017/10/31,8.8007
2017/10/30,8.7686
2017/10/27,8.7231
2017/10/26,8.7475
2017/10/25,8.8038
2017/10/24,8.7062
2017/10/23,8.7532
2017/10/20,8.7338
2017/10/19,8.7293
2017/10/18,8.7341
2017/10/17,8.7245
2017/10/16,8.7497
2017/10/13,8.7533
2017/10/12,8.6744
2017/10/11,8.6966
2017/10/10,8.6849
2017/10/9,8.6986
2017/10/6,8.6739
2017/10/5,8.7283
2017/10/4,8.8223
2017/10/3,8.799
2017/10/2,8.8176
2017/9/29,8.9179
2017/9/28,8.9655
2017/9/27,8.9041
2017/9/26,8.9113
2017/9/25,8.9303
2017/9/22,8.9081
2017/9/21,8.9316
2017/9/20,8.9081
2017/9/19,8.8988
2017/9/18,8.8796
2017/9/15,8.8984
2017/9/14,8.7778
2017/9/13,8.6453
2017/9/12,8.675
2017/9/11,8.6035
2017/9/8,8.5526
2017/9/7,8.5049
2017/9/6,8.5333
2017/9/5,8.5161
2017/9/4,8.4565
2017/9/1,8.5064
2017/8/31,8.4884
2017/8/30,8.5151
2017/8/29,8.5355
2017/8/28,8.5378
2017/8/25,8.5607
2017/8/24,8.5315
2017/8/23,8.5205
2017/8/22,8.5555
2017/8/21,8.5997
2017/8/18,8.5658
2017/8/17,8.6031
2017/8/16,8.6094
2017/8/15,8.5956
2017/8/14,8.6593
2017/8/11,8.6492
2017/8/10,8.6327
2017/8/9,8.6816
2017/8/8,8.6915
2017/8/7,8.7522
2017/8/4,8.7712
2017/8/3,8.8315
2017/8/2,8.8971
2017/8/1,8.8737
2017/7/31,8.8636
2017/7/28,8.8402
2017/7/27,8.8198
2017/7/26,8.82
2017/7/25,8.8033
2017/7/24,8.7941
2017/7/21,8.7717
2017/7/20,8.7859
2017/7/19,8.8067
